WEEK,country,event_type,events
2025-08-16,Israel,Protests,80
2025-08-16,Israel,Riots,8
2025-08-16,Israel,Strategic developments,7
2025-08-16,Palestine,Battles,2
2025-08-16,Palestine,Explosions/Remote violence,159
2025-08-16,Palestine,Protests,14
2025-08-16,Palestine,Riots,59
2025-08-16,Palestine,Strategic developments,72
2025-08-16,Palestine,Violence against civilians,60
2025-08-23,Israel,Protests,81
2025-08-23,Israel,Riots,4
2025-08-23,Israel,Strategic developments,9
2025-08-23,Palestine,Battles,4
2025-08-23,Palestine,Explosions/Remote violence,188
2025-08-23,Palestine,Protests,5
2025-08-23,Palestine,Riots,64
2025-08-23,Palestine,Strategic developments,70
2025-08-23,Palestine,Violence against civilians,61
2025-08-30,Israel,Explosions/Remote violence,2
2025-08-30,Israel,Protests,60
2025-08-30,Israel,Riots,5
2025-08-30,Israel,Strategic developments,4
2025-08-30,Palestine,Battles,3
2025-08-30,Palestine,Explosions/Remote violence,188
2025-08-30,Palestine,Protests,7
2025-08-30,Palestine,Riots,66
2025-08-30,Palestine,Strategic developments,70
2025-08-30,Palestine,Violence against civilians,56
2025-09-06,Israel,Explosions/Remote violence,5
2025-09-06,Israel,Protests,33
2025-09-06,Israel,Riots,2
2025-09-06,Israel,Strategic developments,10
2025-09-06,Israel,Violence against civilians,1
2025-09-06,Palestine,Battles,5
2025-09-06,Palestine,Explosions/Remote violence,173
2025-09-06,Palestine,Protests,5
2025-09-06,Palestine,Riots,94
2025-09-06,Palestine,Strategic developments,62
2025-09-06,Palestine,Violence against civilians,59
2025-09-13,Israel,Explosions/Remote violence,5
2025-09-13,Israel,Protests,42
2025-09-13,Israel,Riots,6
2025-09-13,Israel,Strategic developments,7
2025-09-13,Palestine,Battles,9
2025-09-13,Palestine,Explosions/Remote violence,183
2025-09-13,Palestine,Protests,7
2025-09-13,Palestine,Riots,104
2025-09-13,Palestine,Strategic developments,70
2025-09-13,Palestine,Violence against civilians,50
2025-09-20,Israel,Explosions/Remote violence,5
2025-09-20,Israel,Protests,30
2025-09-20,Israel,Strategic developments,5
2025-09-20,Palestine,Battles,16
2025-09-20,Palestine,Explosions/Remote violence,193
2025-09-20,Palestine,Protests,5
2025-09-20,Palestine,Riots,90
2025-09-20,Palestine,Strategic developments,60
2025-09-20,Palestine,Violence against civilians,54
2025-09-27,Israel,Explosions/Remote violence,2
2025-09-27,Israel,Protests,36
2025-09-27,Israel,Strategic developments,7
2025-09-27,Israel,Violence against civilians,1
2025-09-27,Palestine,Battles,16
2025-09-27,Palestine,Explosions/Remote violence,212
2025-09-27,Palestine,Protests,4
2025-09-27,Palestine,Riots,80
2025-09-27,Palestine,Strategic developments,57
2025-09-27,Palestine,Violence against civilians,56
2025-10-04,Israel,Explosions/Remote violence,1
2025-10-04,Israel,Protests,54
2025-10-04,Israel,Riots,3
2025-10-04,Israel,Strategic developments,6
2025-10-04,Palestine,Battles,4
2025-10-04,Palestine,Explosions/Remote violence,173
2025-10-04,Palestine,Protests,8
2025-10-04,Palestine,Riots,139
2025-10-04,Palestine,Strategic developments,51
2025-10-04,Palestine,Violence against civilians,53
2025-10-11,Israel,Battles,1
2025-10-11,Israel,Protests,11
2025-10-11,Israel,Riots,1
2025-10-11,Israel,Strategic developments,1
2025-10-11,Palestine,Battles,13
2025-10-11,Palestine,Explosions/Remote violence,31
2025-10-11,Palestine,Protests,3
2025-10-11,Palestine,Riots,126
2025-10-11,Palestine,Strategic developments,42
2025-10-11,Palestine,Violence against civilians,68
2025-10-18,Israel,Protests,16
2025-10-18,Israel,Riots,6
2025-10-18,Israel,Strategic developments,1
2025-10-18,Palestine,Battles,4
2025-10-18,Palestine,Explosions/Remote violence,46
2025-10-18,Palestine,Protests,4
2025-10-18,Palestine,Riots,111
2025-10-18,Palestine,Strategic developments,65
2025-10-18,Palestine,Violence against civilians,39
2025-10-25,Israel,Protests,25
2025-10-25,Israel,Riots,1
2025-10-25,Israel,Strategic developments,6
2025-10-25,Israel,Violence against civilians,1
2025-10-25,Palestine,Battles,5
2025-10-25,Palestine,Explosions/Remote violence,93
2025-10-25,Palestine,Protests,3
2025-10-25,Palestine,Riots,120
2025-10-25,Palestine,Strategic developments,68
2025-10-25,Palestine,Violence against civilians,38
2025-11-01,Israel,Protests,16
2025-11-01,Israel,Riots,1
2025-11-01,Israel,Strategic developments,4
2025-11-01,Israel,Violence against civilians,1
2025-11-01,Palestine,Battles,2
2025-11-01,Palestine,Explosions/Remote violence,65
2025-11-01,Palestine,Protests,5
2025-11-01,Palestine,Riots,117
2025-11-01,Palestine,Strategic developments,80
2025-11-01,Palestine,Violence against civilians,32
2025-11-08,Israel,Protests,17
2025-11-08,Israel,Riots,3
2025-11-08,Israel,Strategic developments,3
2025-11-08,Palestine,Battles,7
2025-11-08,Palestine,Explosions/Remote violence,57
2025-11-08,Palestine,Protests,4
2025-11-08,Palestine,Riots,103
2025-11-08,Palestine,Strategic developments,69
2025-11-08,Palestine,Violence against civilians,32
2025-11-15,Israel,Protests,24
2025-11-15,Israel,Riots,2
2025-11-15,Israel,Strategic developments,5
2025-11-15,Palestine,Battles,6
2025-11-15,Palestine,Explosions/Remote violence,91
2025-11-15,Palestine,Protests,7
2025-11-15,Palestine,Riots,104
2025-11-15,Palestine,Strategic developments,53
2025-11-15,Palestine,Violence against civilians,33
2025-11-22,Israel,Protests,21
2025-11-22,Israel,Riots,4
2025-11-22,Israel,Strategic developments,4
2025-11-22,Palestine,Battles,10
2025-11-22,Palestine,Explosions/Remote violence,87
2025-11-22,Palestine,Protests,5
2025-11-22,Palestine,Riots,114
2025-11-22,Palestine,Strategic developments,67
2025-11-22,Palestine,Violence against civilians,43
2025-11-29,Israel,Protests,24
2025-11-29,Israel,Riots,3
2025-11-29,Israel,Strategic developments,2
2025-11-29,Palestine,Battles,7
2025-11-29,Palestine,Explosions/Remote violence,91
2025-11-29,Palestine,Protests,7
2025-11-29,Palestine,Riots,124
2025-11-29,Palestine,Strategic developments,57
2025-11-29,Palestine,Violence against civilians,41
2025-12-06,Israel,Protests,14
2025-12-06,Israel,Riots,1
2025-12-06,Israel,Strategic developments,3
2025-12-06,Palestine,Battles,3
2025-12-06,Palestine,Explosions/Remote violence,78
2025-12-06,Palestine,Protests,2
2025-12-06,Palestine,Riots,91
2025-12-06,Palestine,Strategic developments,61
2025-12-06,Palestine,Violence against civilians,42
